Date,Operator,Location,Fatalities,Aboard
1928-03-11,Air Union,"Off Cape Griz Nez, France",2,2
1928-04-17,Boeing Air Transport,"Federal, Wyoming",1,2
1928-04-19,Iberia Airlines,"Minuesa, Spain",9,9
1928-05-07,Aeropostale,,1,1
1928-05-12,Ford Air Freight Inc.,"Dearborn, Minnesota",2,2
1928-05-26,Deutsche Lufthansa,"Radevormwald, Germany",3,5
1928-06-14,Deutsche Lufthansa,"Frankfurt, Germany",5,5
1928-06-22,National Air Transport,"Lebo, Kansas",1,1
1928-07-10,Aero O-Y,Over the Gulf of Finland,6,6
1928-07-13,Imperial Airways,"Purley, England",4,4
1928-07-24,KLM Royal Dutch Airlines,"Waalhaven harbor, Netherlands",1,1
1928-08-25,British Columbia Airways,"Near Port Townsend, BC, Canada",7,7
1928-09-02,CIDNA,"Toul, France",3,3
1928-09-04,Qantas,"Adelaide Hills, Australia",1,2
1928-09-04,National Parks Airways,"Pocatello, Idaho",7,7
1928-09-06,Deutsche Lufthansa,"Heroldbach, Germany",3,3
1928-10-04,Aeropostale,"Gerona, Spain",3,3
1928-10-18,National Air Transport,"Polk, Pennsylvania",1,1
1928-10-31,Air Union,"Valence, France",1,2
1928-11-15,Aeropostale,Off Gibraltar,1,2
1928-11-24,Universal Airlines,"Edgerton, Ohio",3,3
1928-11-25,National Air Transport,"Bristolville, Ohio",1,1
1928-11-25,Continental Air Lines,"Edgerton, Ohio",3,3
1928-12-01,Sunbeam Air Transport Co.,"Spur, Texas",5,5
1928-12-03,Syndicato Condor,Brazil,14,14
1928-12-04,,"Rio de Janeiro, Brazil",6,6
1928-12-11,Deutsche Lufthansa,"Letzlingen, Germany",3,4
1928-12-20,National Air Transport,"Huron, Ohio",1,1
1928-12-23,Interstate Airlines,"Chattanooga, Tennessee",4,4
1928-12-31,CIDNA,"Reims, France",2,3
1929-01-05,Colonial Air Transport,"Stafford Springs, Connecticut",1,1
1929-01-18,Varney Air Lines,"Cove, Oregon",1,1
1929-01-25,Aeroespresso,"Near Corfu, Greece",2,9
1929-01-31,Skyline Transportation Company,"Morgantown, West Virginia",1,1
1929-01-31,Aeropostale,Off Morocco,2,2
1929-03-17,Colonial Western Airlines,"Newark, New Jersey",14,15
1929-03-30,New Standard Airlines,"Near Beaumont, California",4,4
1929-04-21,Maddux Airlines / Military - U.S.Army Air Force,"San Diego, California",6,6
1929-05-18,MALERT,Hungary,2,2
1929-05-22,Aeropostale,Algiers,4,5
1929-06-10,Pan American Airways,"Santiago de Cuba, Cuba",2,5
1929-06-14,Aeropostale,"Barcelona, Spain",1,2
1929-06-17,Imperial Airways,"Off Dungeness, England",7,13
1929-06-24,Northwest Orient Airlines,"St. Paul, Minnesota",1,8
1929-06-29,Aero Lloyd,"Lake Constance, Switzerland",5,5
1929-06-29,Continental Air Lines,"Columbus, Ohio",1,1
1929-08-11,Middle States Airlines,"Clovis, New Mexico",4,4
1929-08-13,Aeropostale,"Perpignan, France",1,1
1929-08-24,Ukvozduchput,"Sochi, Russia",1,1
1929-08-24,Deutsche Lufthansa,"Elm, Germany",4,5
1929-09-02,Associated Aviators,"Needles, California",1,2
1929-09-03,Trans Continental Air Transport,"Mt. Taylor, New Mexico",8,8
1929-09-06,Imperial Airways,"Jask, Iran",3,5
1929-09-17,Aeropostale,"Off Larache, Morocco",5,5
1929-09-17,Pickwick Airways,"Jacumba, California",1,2
1929-09-17,Colonial Air Transport,"Mt Lamentation, Connecticut",1,1
1929-10-26,Imperial Airways,"Off Spezia, Italy",7,7
1929-10-29,Continental Air Lines,"Mount Vernon, Ohio",1,1
1929-10-31,Bremerton-Seattle Air Taxi / Gorst Air Lines,"Off Bremerton, Washington",2,2
1929-11-04,Corp. Aeronautica de Transportes,"Cerro del Carbon, Mexico",4,4
1929-11-06,Deutsche Lufthansa,"Near Godstone, Surrey, England",7,8
1929-11-15,Air Union,"Off Corsica, France",3,3
1929-11-30,Varney Air Lines,"Vancouver, Washington",1,1
1929-12-02,National Air Transport,"Chagrin Falls, Ohio",1,1
1929-12-14,Aeropostale,Mediterranean Sea,3,3
1929-12-19,Deutsche Lufthansa,"Near Berlin, Germany",2,3
1929-12-30,Trans Continental Air Transport,"Amarillo, Texas",5,5
1930-01-10,Boeing Air Transport,"Brawnson, Nebraska",1,1
1930-01-13,Air Orient,"Antananarivo, Madagascar",3,3
1930-01-19,Maddux Airlines,"Oceanside, California",16,16
1930-01-25,Aeropostale,"Off Ceuta, Spain",2,2
1930-01-27,Central  Airlines,"Kansas City, Kansas",5,5
1930-02-03,Colonial Air Transport,"Hartford, Connecticut",1,1
1930-02-10,Air Union,"Marden, England",2,2
1930-04-18,Canadian Colonial Airways,"Jersey City, New Jersey",4,4
1930-05-10,Aeropostale,Buenos Aires,3,4
1930-06-05,Colonial Air Transport,"Boston, Massachusetts",1,15
1930-07-07,Deutsche Lufthansa,"Bornholm, Denmark",5,8
1930-07-10,Cross Airways,"Arkansas Pass, Texas",5,5
1930-08-22,Ceskoslovenske Aerolinie,"Iglau, Czechoslovakia",10,11
1930-09-11,Sabena,"Croydon, England",2,2
1930-09-25,Western Canada Airways,"Southesk, Saskatchewan, Canada",3,3
1930-10-05,Military - British Air Ministry,"Near Beauvais, France",48,54
1930-10-06,Deutsche Lufthansa,"Dresden, Germany",8,8
1930-10-12,Aeropostale,"La Rache, Morocco",4,4
1930-10-28,Alaska-Washington Airways,"Prince Rupert, BC, Canada",3,3
1930-10-30,Imperial Airways,"Near Neufchatel, France",3,6
1930-10-30,Embry Riddle Company,"Brookston, Indiana",1,1
1930-11-07,Syndicato Condor,"Off of Santos, Brazil",1,9
1930-11-18,PacifiAir Transport,"Techachapi Mountains, California",3,3
1930-12-09,China National Aviation Corporation,"Shanghai, China",4,6
1931-01-08,Sabena,"Melle, Belgium",2,2
1931-01-22,Varney Air Lines,"Bluff Mountain, Washington",1,1
1931-02-08,Dominion Air Lines,"Wairoa, New Zealand",1,1
1931-02-20,Western Canada Airways,"Bagot, Manitoba, Canada",2,3
1931-02-24,Aeropostale,Off Spain,1,3
1931-03-21,Australian National Airways,"New South Wales, Australia",8,8
1931-03-31,Trans Continental and Western Air,"Bazaar, Kansas",8,8
1931-04-14,Deutsche Lufthansa,"Near Letschen, Germany",2,10
1931-05-05,PacifiAir Transport,"Burbank, California",2,2
1931-05-22,Guiena Airways,"Wampit, Australia",1,1
1931-05-24,National Air Transport,"Bellefonte, Pennsylvania",1,1
1931-06-07,Air Orient,"Near Sandoway, Burma",4,4
1931-06-11,Rubner Flying Service,"Walbridge, Ohio",2,3
1931-06-13,Deutsche Lufthansa,"Saarbrucken, Germany",4,4
1931-07-12,Braniff Airlines,"Chicago, Illinois",2,2
1931-07-14,Australian Aerial Services,"Temora, Australia",2,2
1931-07-21,American Airways,"Centralia, Illinois",1,1
1931-07-24,CIDNA,"Kurudjevo, Bulgaria",7,7
1931-08-09,American Airways,"Cincinnati, Ohio",6,6
