Date,Operator,Location,Fatalities,Aboard
1972-12-15,Zantop Airways,"Detroit, Michigan",2,2
1972-12-20,Delta Air Lines/ North Central Airlines,"Chicago, Illinois",10,133
1972-12-21,Military - U.S. Air Force,"Near Pakse, Laos",14,16
1972-12-21,Air Guadeloupe,"Off St. Maarten off, Netherlands Antilles",13,13
1972-12-23,Braathens,"Skaugum, Norway",40,45
1972-12-29,Eastern Air Lines,"Everglades National Park, Florida",103,176
1972-12-31,American Express Leasing,"San Juan, Puerto Rico",5,5
1973-01-02,PacifiWestern Airlines,"Edmonton, Alberta, Canada",5,5
1973-01-19,British European Airways,"Near Glasgow, England",4,4
1973-01-22,Aeroflot,"Perm, Russia",44,44
1973-01-22,Alia Royal Jordanian Airlines,"Kano, Nigeria",176,202
1973-01-27,Air Transit - Air Taxi,"Townsend, Tennessee",3,4
1973-01-27,TAN,"Near Tegucigalpa, Honduras",3,3
1973-01-29,Air Sinai,"Near Kyrenia, Cyprus",37,37
1973-01-31,Harry Faulkner - Air Taxi,"Kasigluk, Alaska",2,2
1973-02-19,Aeroflot,"Prague, Czechoslovakia",66,100
1973-02-19,Petrolium Helo Inc.,"Morgan City, Louisiana",5,5
1973-02-21,Aerovias Urraca,"Cerro Horqueta, Panama",22,28
1973-02-21,Libya Arab Airlines,"Near Isma'iliya, Egypt",110,113
1973-02-22,Air Taxi,"Londonderry, Vermont",2,2
1973-02-24,Aeroflot,"Near Leningrad, Russia",79,79
1973-02-28,Aeroflot,"Semipalatinsk, Kazakhstan",32,32
1973-02-28,Military - Polish Air Force,"Szczecin, Poland",15,15
1973-02-28,Military - Polish Air Force,"Near Szczecin, Poland",18,18
1973-02-28,Merpati Nusantara Airlines,"Near Nabire, Indonesia",13,13
1973-03-03,Balkan Bulgarian Airlines,"Moscow, Russia",25,25
1973-03-05,Aviaco,"Off Funchal, Portugal",3,3
1973-03-05,Lineas Aereas de Espana/Spantax SA Transportes,"Near Nantes, France",68,182
1973-03-07,Air America,"Near Ban Hong Sa, Laos",4,4
1973-03-15,Indian Airlines,"Hyderabad, India",3,3
1973-03-15,Military - U.S. Navy,"Off Brunswick, Maine",5,5
1973-03-19,Air Vietnam (South Vietnam),"Ben Me Thuot, South Vietnam",62,62
1973-04-10,Invicta International Airlines (UK),"Near Hochwald, Solothurn,  Switzerland",108,145
1973-04-12,Military - U.S. Navy / NASA,"Sunnyvale, California",16,17
1973-04-12,Military - U.S. Navy,"Moffett AFB, California",15,16
1973-04-18,Bakhtar Afghan Airlines,"Bamiyan, Afghanistan",4,19
1973-04-19,Air Iowa,"Davenport, Iowa",6,6
1973-05-11,Air Taxi,"Greenville, Maine",4,4
1973-05-16,Winship Air Service - Air Taxi,"Deadhorse, Alaska",2,5
1973-05-18,Aeroflot,"Chita, Siberia, Russia",100,100
1973-05-19,Cambodia Air,"Svay Rieng, Cambodia",11,11
1973-05-29,Air Gaspé,"Near Rimouski, Canada",4,4
1973-05-31,Indian Airlines,"Near New Delhi, India",48,65
1973-06-01,Cruzeiro,"Sao Luis, Brazil",23,23
1973-06-03,Aeroflot,"Goussainville, France",6,6
1973-06-09,Varig,"Rio de Janeiro, Brazil",2,4
1973-06-20,Aeromexico,"Near Puerto Vallarta, Mexico",27,27
1973-06-30,Aeroflot,"Amman, Jordan",5,84
1973-07-11,Varig,"Paris, Orly, France",123,134
1973-07-22,Pan American World Airways,"Off Papeete, Tahiti",78,79
1973-07-23,Ozark Air Lines,"St. Louis, Missouri",38,44
1973-07-24,Air Hawaii,"Honolulu, HI",5,5
1973-07-31,Delta Air Lines,"Logan Airport, Boston, Massachusett",89,89
1973-08-04,Revilla Flying Service - Air Taxi,"Ketchikan, Alaska",5,5
1973-10-13,Aeroflot,"Near  Domodedovo, Russia",119,119
1973-08-13,Aviaco,"Near La  Corunda, Spain",85,85
1973-08-15,Private,"Don Don, Haiti",10,10
1973-08-18,Aeroflot,"Baku, Azerbaijan, USSR",56,64
1973-08-22,AVIANCA,"El Yopal, Colombia",16,17
1973-08-27,Aerovias Brasil,"Bogota, Colombia",42,42
1973-08-28,Military - U.S. Air Force,"Near Huete, Spain",24,25
1973-08-28,Trans World Airlines,"Thirty-five miles west of Los Angeles, California",1,149
1973-09-04,Aegler Stuart Flying Service  / Private,"Gary, Indiana",4,5
1973-09-08,World Airways,"King Cove, Alaska",6,6
1973-09-09,Wicks Flying Service - Air Taxi,"Paintsville, Kentucky",4,4
1973-09-11,JAT Yugoslav Airlines,"Moganik, Yugoslavia",41,41
1973-09-20,Private Charter,"Natchitoches, Louisiana",6,6
1973-09-24,Dunlap Aviation - Air Taxi,"Eagleville, California",2,2
1973-09-25,Lisa Jet Inc. - Air Taxi,"Lincoln, Nebraska",3,3
1973-09-27,Texas International Airlines,"Rich Mountain, Arkansas",11,11
1973-09-30,Aeronorte,"Miritituba, Brazil",9,9
1973-09-30,Aeroflot,"Near Sverdlovsk, Russia",108,108
1973-10-02,Aeroflot,"Magadan, Russia",10,10
1973-10-04,Taxi Aéreo Cesar Aguiar,"Itaituba, PA, Brazil",8,8
1973-10-23,VASP,"Guanabara Bay, Brazil",8,65
1973-10-29,CATA,Sainte Lucia Island,4,4
1973-10-31,Jack N. Boswick - Air Taxi,"La Verne, California",2,7
1973-11-02,Lineas Aéreas La Urraca,"Villavicencio, Colombia",6,16
1973-11-03,National Airlines,"Near Albuquerque,  New Mexico",1,128
1973-11-03,Pan American World Airways,"Boston, Massachusett",3,3
1973-11-17,Air Vietnam (South Vietnam),"Near Quang-Ngai, Vietnam",27,27
1973-12-07,Aeroflot,"Moscow, Russia",13,72
1973-12-09,Churchill Falls Co.,"Churchill Falls, Newfoundland, Canada",8,8
1973-12-11,Military - U.S. Navy,"Sitkin Island, Alaska",10,10
1973-12-16,Aeroflot,"Near Vilnius, Lithuania",51,51
1973-12-17,Pan American World Airways,"Rome, Italy",30,177
1973-12-18,Capitol Air Service - Air Taxi,"Manhattan, Kansas",2,2
1973-12-21,TAM (Bolivia),"Talara, Peru",6,9
1973-12-21,Military - Vietnamese Air Force,"Near Siagon, South Vietnam",20,20
1973-12-22,Sobelair SA (Belgium),"Near Tetouan, Morocco",106,106
1973-12-23,Aeroflot,"Lvov, Ukraine, USSR",17,17
1973-12-28,Executive Funds,"Durban, South Africa",1,25
1974-01-01,Itavia,"Near Turin, Italy",38,42
1974-01-06,Servicios Aéreos Boliviano,"Unduavi, Bolivia",4,4
1974-01-06,Air East,"Johnstown, Pennsylvania",12,17
1974-01-06,Aeroflot,"Mukachevo, Russia",24,24
1974-01-09,Military - Colombian Air Force,"Near Nevia, Colombia",31,31
1974-01-10,TAM (Bolivia),"La Paz, Bolivia",24,24
1974-01-17,Cessnyca,"Cigerdu, Colombia",14,14
1974-01-25,Aeroflot,"Rostov, Russia",4,4
1974-01-25,Inland Aviation - Air Taxi,"Goldendale, Washington",2,2
1974-01-26,Turkish Airlines (THY),"Izmir, Turkey",66,73
1974-01-27,Taos Airways - Air Taxi,"S. Dominican Pueblo, New Mexico",3,3
1974-01-28,Theif River Aviation - Air Taxi,"Winger, Minnesota",4,4
1974-01-30,Pan American World Airways,"Pago Pago, American Samoa",96,101
1974-02-02,Pan American World Airways,"Near Honolulu, HI",1,298
1974-02-09,Military - West German Air Force,"Near Souda, Crete",35,40
1974-02-10,North Cay Air - Air Taxi,AtlantiOcean,2,2
1974-02-22,Delta Air Lines,"Baltimore, Maryland",1,15
1974-02-23,SAVCO,"San Francisco de Moxos,  Bolivia",7,7
1974-02-28,Military - Imperial Iranian Air Force,"Near Mehrabad, Iran",10,10
1974-03-03,Turkish Airlines (THY),"Near Ermenonville, France",346,346
1974-03-08,Pathet Lao Airlines,"Hanoi, Vietnam",18,18
1974-03-11,Executive Air - Air Taxi,"Carson City, Nevada",4,4
1974-03-13,Sierra PacifiAirlines,"Bishop, California",36,36
1974-03-15,Sterling Airways,"Tehran, Iran",15,96
1974-04-04,Wenela Air Services,"Francistown, Botswana",78,84
1974-04-11,Island Air,"Hilo Island, Hawaii",11,11
1974-04-22,Pan American World Airways,"Grogak, Bali, Indonesia",107,107
1974-04-24,Aeroflot,"Tashkent, Uzbekistan",1,115
1974-04-27,Aeroflot,"Near Leningrad, Russia",118,118
1974-04-30,Houston Metro Airlines,"Galveston, Texas",6,12
1974-05-02,Aero Taxis Equatorianos,"Banos, Ecuador",22,24
1974-05-06,Fragtflug,"Nurnberg, Germany",3,3
1974-05-23,Saturn Airways,"Springfield, Illinois",3,3
1974-05-23,Aeroflot,"Kiev, Ukraine, USSR",29,29
1974-05-31,Lambair,"Rankin Inlet, Canada",2,2
1974-06-08,Aerolineas TAO,"Monte San Isidro,  Colombia",44,44
1974-06-27,Cambodia Air,"Battambang, Khmer Republic",19,39
1974-06-30,Alaska Helicopter - Air Taxi,"Umiat, Alaska",5,5
1974-07-24,Aeronorte Colombia,"Bogota, Colombia",3,3
1974-07-27,Air Amercia,"Near MoHoa, Vietnam",5,5
1974-08-05,Laurentian Air Services,"Mt. Apica, Canada",5,11
1974-08-09,Military - Canadian Air Force,"Diemas, Syria",9,9
1974-08-11,Air  Mali,"Near Ouagadougou, Upper Volta",47,60
1974-08-12,AVIANCA,"Cali, Colombia",27,27
1974-08-13,MerriAviation - Air Taxi,"Anaktuvuk, Alaska",4,4
1974-08-14,Linea Aeropostal Venezolana,"Margarita Island, Venezuela",48,49
1974-08-18,Military - U.S. Air Force,"Near La Paz, Bolivia",7,7
1974-08-18,Military - Zairean Air Force,"Near Kisangani, Zaire",31,31
1974-09-07,Garuda Indonesia Airlines,"Tandjung-karang, Indonesia",35,39
1974-09-08,Trans World Airlines,"Ionian Sea , off Kefallinia, Greece",88,88
1974-09-11,Eastern Air Lines,"Near Charlotte, North Carolina",70,82
1974-09-15,Air Vietnam (South Vietnam),"Phan Rang, Vietnam",75,75
1974-09-19,Riverside Air,"Riverside, California",5,5
1974-09-22,Frontier Flying Service - Air Taxi,"Fairbanks, Alaska",2,2
1974-10-01,Winship Air Service,"Lupine, Alaska",6,6
1974-10-02,North Cay Airways,"Off Saint Thomas, U.S. Virgin Islands",2,2
1974-10-09,Evergreen Helicopter - Air Taxi,"Medfra, Alaska",3,3
1974-10-10,EgyptAir,"Cairo, Egypt",6,6
1974-10-13,Military - U.S. Air Force,Formosa Strait,6,6
1974-10-17,Webber Airlines -Air Taxi,"Kassan, Alaska",5,8
1974-10-19,Mabuhay Airways,"Calapan, Philippines",1,8
1974-10-22,Deming Flying Service - Air Taxi,"Fort Apache, Arizona",2,2
1974-10-24,AltusFlying Service - Air Taxi,"Blair, Oklahoma",2,4
1974-10-24,Henry Nichols - Air Taxi,"Chicao, Illinois",2,3
1975-11-09,Willow Air Service - Air Taxi,"Willow, Alaska",3,3
1974-10-27,Alaska International Air,"Old Man's Camp, Alaska",4,4
1974-10-28,Hlavka Aviation - Air Taxi,"Pagosa Springs, Colorado",2,2
1974-10-30,Pan ArctiOil,"Rae Point, Northwest Territories, Canada",32,34
1974-11-07,,"Off Sonderborg, Denmark",3,3
1974-11-15,Southeast Sky - Air Taxi,"Hoonah, Alaska",4,4
1974-11-15,Orient Air System and Integrated Services,"Manila, Philippines",1,8
1974-11-20,Ethiopian Airlines,"Soddu, Ethiopia",2,24
1974-11-20,Lufthansa,"Near Nairobi, Kenya",59,157
1974-11-22,Alpa Servicios Aéreos,"Barcelona, Spain",4,4
1974-12-01,Northwest Orient Airlines,"Bear Mountain,  Thiells, New York",3,3
1974-12-01,Trans World Airlines,"Near Berryville, Virginia",92,92
1974-12-04,Martinair Holland NV,"Near Maskeliya, Sri Lanka",191,191
1974-12-11,Kodiak Airways,"Near Old Harbors, Alaska",5,5
1974-12-12,Military - Vietnamese Air Force,"Near MoHoa, South Vietnam",54,54
1974-12-14,Aeroflot,"Bukhara, Uzbekistan",7,7
1974-12-22,Aerovias Venezolanas SA (Venezuela),"Maturin, Venezuela",77,77
1974-12-26,Harbor Airlines - Air Taxi,"Riverton Heights, Washingon",4,6
1974-12-29,Tarom,"Carpathian Mts., near Sibiu, Romania",33,33
1975-01-03,Aeroflot,"Moscow, Russia",61,61
1975-01-03,Air America,"Near Nha Trang, Vietnam",9,9
1975-01-05,Richland Flying Service - Air Taxii,"Palmer, Washington",3,4
1975-01-06,Military - Argentine Navy,"Sierra del Aconquija, Argentina",12,12
1975-01-08,SATENA,"Near Doncello, Colombia",21,21
1975-01-09,Golden West Airlines / Private,"Whittier, California",14,14
1975-01-13,Channel Flying Service - Air Taxi,"Juneau, Alaska",5,5
1975-01-15,Malev Hungarian Airlines,"Budapest, Hunary",9,9
1975-01-16,Aeroflot,"Sam Neva, Laos",16,16
1975-01-30,Turkish Airlines (THY),"Istanbul, Turkey",42,42
1975-01-30,Linea Aérea Nacional,"Santo Domingo, Dominican Republic",1,30
1975-02-01,Kenai Air Service - Air Taxi,"Valdez, Alaska",2,2
1975-02-01,Horizon Properties,"Houston, Texas",5,16
1975-02-03,Philippine Air Lines,"Manila, Philippines",32,33
1975-02-09,Military - Deutsche Luftwaffe,"Souda, Crete",40,40
1975-02-16,PacifiAlaska Airlines,"Fairbanks, Alaska",3,3
1975-02-22,Aerocondor,"Medellin, Colombia",5,5
1975-02-27,VASP,"Near Sao Paulo, Brazil",15,15
1975-03-05,Burlington Air - Air Taxi,"Waterford, Wisconsin",2,4
1975-03-12,Air Vietnam (South Vietnam),"Pleiku, South Vietnam",26,26
1975-03-16,Military - Argentine Air Force,"Near Barito, Argentina",55,55
1975-03-18,Sudan Airways,"Singa, Sudan",5,6
1975-03-20,Military - U.S. Air Force,"Near Quilcene, Washington",16,16
1975-04-04,Military - U.S. Air Force,"Saigon, Vietnam",155,330
1975-04-22,Skips Air Service - Air Taxi,"Goleta, California",3,3
1975-04-28,Gay Airways - Air Taxi,"Deadhorse, Alaska",2,4
1975-05-03,SATENA,"Near Sardinata, Colombia",3,6
1975-05-10,Air Express,"Off Cape Paterson, Australia",2,2
1975-05-12,Foster Aviation,"Savoonga, Alaska",6,6
1975-05-13,Military - U.S. Air Force,"Near Sakon Nakhon, Thailand",23,23
1975-06-03,Philippine Air Lines,"Manila, Philippines",1,64
1975-06-17,Varig,"Pedro Alfonso, Brazil",1,15
1975-06-24,Eastern Air Lines,"JFK Airport, New York, New York",113,124
1975-06-26,Hamilton Aviation,"Toledo, Ohio",2,2
1975-06-30,Taxi Aereo El Venado,"Near Saravena, Colombia",3,3
1975-07-02,Touraine Air Transport,"Nantes, France",8,8
1975-07-03,Military - Chilian Air Force,"Near Colina, Chile",10,10
1975-07-10,Aerovias Condor,"Bogota, Colombia",2,4
1975-07-10,Homer Air Service - Air Taxi,"Homer, Alaska",2,2
1975-07-15,Oceanaire Helicopter - Air Taxi,"Poway, California",4,4
1975-07-15,Aeroflot,"Near Batumi, Georgia, USSR",41,41
1975-07-26,Military - U.S. Air Force,"Imlay City, Michigan",6,6
1975-07-31,Far Eastern Air Transport,"Taipei, Taiwan",28,76
1975-08-03,Alia Royal Jordanian Airlines,"Near Immouzer, Morocco",188,188
1975-08-03,Military - Nicaraguan Air Force,"Off Amapala, Honduras",20,20
1975-08-07,Continental Airlines,"Denver, Colorado",0,131
1975-08-15,Aeroflot,"Krasnovodsk, USSR",28,28
1975-08-20,Ceskoslovenske Aerolinie,"Near Damascus, Syria",126,128
1975-08-25,Portsmouth Aviation - Air Taxi,"Minford, Ohio",2,4
1975-08-30,Military - Nicaraguan Air Force,"Off Punta Amapala, El Salvador",20,20
1975-08-30,Wien Air Alaska,"Near Gambell, Alaska",10,32
1975-09-01,Interflug,"Leipzig-Halle, East Germany",26,34
1975-09-11,Ethiopian Airlines,"Near Bahar Dar, Ethiopia",1,9
1975-09-24,Garuda Indonesia Airlines,"Near Palembang, Indonesia",25,61
1975-09-30,Malev Hungarian Airlines,"Off Beirut, Lebanon",60,60
1975-09-30,Northern Thunderbird Air,"Klua Tan Tan, Canada",7,7
1975-09-30,AVIANCA,"Barranquilla, Colombia",4,4
1975-10-23,Connair,"Cairns Airport, Queensland, Australia",11,11
1975-10-26,Air Taxi,"Zephyr Cove, Nevada",2,2
1975-10-27,TAM (Bolivia),"Tomonoco, Bolivia",67,67
1975-10-30,Inex Adria Aviopromet,"Near Prague, Czechoslovakia",75,120
1975-11-03,Petroleum Helicopter,Gulf of Mexico,9,9
1975-11-07,Quakertown Aviation - Air Taxi,"State College, Pennsylvania",4,4
1975-11-18,Aviateca,"Caoba, Guatemala",15,22
1975-11-20,Aeroflot,"Kharkov, Ukraine, USSR",19,19
1975-11-22,Aeroflot,Near Novgorod (Russia,6,6
1975-11-22,Balkan Bulgarian Airlines,"Sofia, Bulgaria",3,48
1975-11-25,Military - Israel  Air Force,"Near Bir Lahfan, Egypt",20,20
1975-11-29,Private,"Hertfordshire, England",6,6
1975-11-30,SceniAirline - Air Taxi,"Elko, Nevada",2,2
1975-12-21,Philippine Aerotransport,"Tacloban, Philippines",9,9
1975-12-26,Star Aviation,"Rollinsville, Colorado",9,9
1976-01-01,Middle East Airlines,"Near Al Qaysumah, Saudi Arabia",82,82
1976-01-03,Aeroflot,"Moscow, Russia",61,61
1976-01-03,Winship Air,"Anchorage, Alaska",6,6
1976-01-06,Orlando Airways - Air Taxi,"Grants, New Mexico",4,4
1976-01-08,Philippine Aerotransport,"Mactan Island, Philippines",7,7
1976-01-15,Taxi Aereo el Venado,"Near Bogota, Colombia",13,13
1976-01-15,Green Acres - Air Taxi,"Orofino, Idaho",3,3
1976-01-18,Frigorifico Maniqui,"Near San Borja, Bolivia",7,10
1976-01-20,TAME,"Near Loja, Ecuador",34,42
1976-01-21,CAAC,"Near Shanghai, China",40,40
1976-01-22,Transbrasil,"Chapeco, Brazil",9,11
1976-01-30,Aeroflot,"Frunze, Kyrgyzstan",6,6
1976-02-03,Falcon Airways - Air Taxi,"Lafayette, Louisiana",2,2
1976-02-04,LAC Colombia,"Off Santa Maria, Colombia",3,3
1976-02-06,Military - U.S. Air Force,"Madrid, Spain",7,7
1976-09-02,Temsco Helicopter - Air Taxi,"Hawk Inlet, Alaska",3,4
1976-02-08,Mercer Airlines,"Van Nuys, California",3,6
1976-02-09,Aeroflot,"Irkutsk, Russia",24,24
1976-02-21,Antilles Air,"St. Croix, Virgin Islands",5,11
1976-03-01,Tarom,"Sibiu, Romania",6,9
1976-03-02,TAM (Bolivia),Southeastern Bolivia,19,22
1976-03-06,Aeroflot,"Near Voronezh, Russia",120,120
1976-03-07,Kodiak Western Alaska Airlines,"Igiugig, Alaska",4,4
1976-03-07,Sky Haven - Air Taxi,"San Onofre, California",2,2
1976-03-18,Cubana de Aviacion,Havana. Cuba,5,5
1976-04-02,SATENA,"Near Puerto Asis, Colombia",5,16
1976-04-05,Alaska Airlines,"Ketchikan, Alaska",1,50
1976-04-08,North Sound Aviation,"Friday Harbor, Washington",7,7
1976-04-08,Royal American - Air Taxi,"Aspen, Colorado",2,2
1976-04-14,Yacimientos Petroliferos Fiscales,"Neuquen, Argentina",34,34
1976-04-15,Chartair - Air Taxi,"Palm Desert, California",6,6
1976-04-23,Petroleum Helicopter,Gulf of Mexico,12,12
1976-04-27,Frontier Flying Service - Air Taxi,"Anaktuvuk, Alaska",5,5
1976-04-27,American Airlines,"St. Thomas, Virgin Islands",37,88
1976-05-04,de Havilland Aircraft,"Near Monze, Zambia",11,11
1976-05-05,Philippine Aerotransport,"Camuigan, Philippines",4,10
1976-11-23,OlympiAirways,"Kozani, Greece",50,50
1976-05-09,Military - Imperial Iranian Air Force,"Near Cuneca, Spain",17,17
1976-05-15,Aeroflot,"Chernigov, Ukraine, USSR",52,52
1976-05-18,Lab Flying Service - Air Taxi,"Petersburg, Alaska",6,6
1976-05-23,Philippine Air Lines,"Zamboanga, Philipines",14,87
1976-06-01,Aeroflot,"Nacias Nguema, Equatorial Guinea",46,46
1976-06-04,Air Manila,"Agana, Guam",45,45
1976-06-06,Sabah Air,"Off Kota Kinabalu, Malaysia",12,12
1976-06-10,Sky Chopper  - Air Taxi,"Somerset, Colorado",2,2
1976-06-27,Air France,"Entebbe, Uganda",7,258
1976-07-05,Military - Burma Air Force,"Daiku, Burma",17,17
1976-07-24,Reed Aviation - Air Taxi,"Huntsville, Missouri",5,5
1976-07-27,Capitol Air Service - Air Taxi,"Greensburg, Kansas",2,3
1976-07-28,Ceskoslovenske Aerolinie,"Bratislava, Czechoslovakia",76,79
1976-08-01,Mamer - Shreck  - Air Taxi,"Billings, Vermont",3,4
1976-08-02,Korean Airlines,"Near Tehran, Iran",5,5
1976-08-09,Military - Spanish Air Force,,11,33
1976-08-15,SAETA,"Andes Mountains, Ecuador",59,59
1976-08-25,Green River Aviation - Air Taxi,"Sunnyside, Utah",3,3
1976-08-28,Aeroperu,"Shanisu River, Peru",6,6
1976-08-28,Military - U.S. Air Force,"Sondre Stromfjord,Greenland",23,27
1976-08-28,Military - U.S. Air Force,"Near Thorney, England",18,18
1976-08-28,Air France,"Ho Chi Minh City, Vietnam",1,20
1976-09-03,Military - Venezuelan Air Force,"Lajes, Azores, Portugal",68,68
1976-09-03,Austin Airways,"Timmins, Ontario, Canada",10,10
1976-09-09,Aeroflot / Aeroflot,"Off Adler, Russia",90,90
1976-09-10,Inex Adria Aviopromet / British Airways,"Near Gaj, Hrvatska, Yugoslavia",176,176
1976-09-19,Turkish Airlines (THY),"Karatepe Mountains, Turkey",154,154
1976-09-22,Air West Airlines Ltd.,"Near Mosher Creek, Canada",1,19
1976-09-22,Loma Linda University - Air Taxi,"San Bernardino, California",4,4
1976-09-26,Military - U.S. Air Force,"Near Alpena, Michigan",15,20
1976-10-04,Emirates Air Transport,"Nairobi, Kenya",4,4
1976-10-06,Cubana de Aviacion,"Off Bridgetown, Barbados",73,73
1976-10-09,Aero National - Air Taxi,"Busick, North Carolina",4,4
1976-10-13,Indian Airlines,"Near Bombay, India",95,95
1976-10-13,Lloyd Aéreo Boliviano,"Santa Cruz, Bolivia",3,3
1976-10-20,Skyline Aviation - Air Taxi,"Hampton, Virginia",4,4
1976-10-25,Taxi Aereo el Venado,"El Yopal, Colombia",32,32
1976-10-28,Nordeste Linhas Aéreas,"Near Petrolia, Brazil",2,6
1976-11-04,Bali International Air Service,"Banjarmasin, Indonesia",29,38
1976-11-05,Inair Panama,AtlantiOcean,2,2
1976-11-12,Aeroleasing - Air Taxi,"Shannon, Ireland",5,5
1976-11-23,PacifiWestern Airlines,"Eastville, Kisangani, Congo",6,6
1976-11-28,Aeroflot,"Moscow, Russia",72,72
1976-11-29,Grand Canyon Air - Air Taxi,"Grand Canyon, Arizona",2,2
1976-12-12,AtlantiCity Airlines,"Cape May, New Jersey",3,10
1976-12-17,Aeroflot,"Kiev, USSR",48,55
1976-12-25,EgyptAir,"Near Bangkok, Thailand",53,53
1976-12-28,Valley Air Service - Air Taxi,Wisconson,6,6
1976-12-31,Faucett,"Near Trujillo, Peru",19,19
1977-01-06,Jet Avia Charter,"Near Palm Springs, California",4,4
1977-01-13,Aeroflot,"Near Alma Ata,  Kazakastan, USSR",96,96
1977-01-13,Japan Air Lines,"Anchorage, Alaska",5,5
1977-01-14,Northern Thunderbird Air Ltd.,"Terrace, BC, Canada",12,12
1977-01-15,Skyline Sweden,"Kalvesta, Sweden",22,22
1977-01-20,North Canada Air,,1,2
1977-01-27,Transportes Aéreos Itenez,"San Ramon, Bolivia",6,6
1977-02-11,Ceskoslovenské Aerolinie,"Bratislava, Slovakia",5,5
1977-02-15,Aeroflot,"Mineralnye Vody, Russia",77,77
1977-02-28,Survair,"Near Saglouc, Canada",4,10
1977-03-01,Alyemda,"Off Aden, Yemen",20,21
1977-03-03,Military - Italian Air Force,"Near Cascina, Italy",44,44
1977-03-04,Overseas National Airways,"Niamey, Niger",2,4
1977-07-06,Fleming International Airways,"Saint Louis, Missouri",3,3
1977-03-04,Private,"Tezzeron Lake, British Columbia, Canada",5,5
1977-03-27,Pan American World Airways / KLM,"Tenerife, Canary Islands",583,644
1977-03-29,Merpati Nusantara Airlines,"Bainaha Valley, Indonesia",15,23
1977-03-30,Aeroflot,"Near Zhadanof, Russia",8,27
1977-04-04,Southern Airways,"New Hope, Georgia",62,85
1977-04-10,Taxi Aereo el Venado,"SW of Bogota, Colombia",35,35
1977-04-19,Military - Soviet Air Force,"Tapa AFB, Estonia",21,21
1977-04-27,Aviateca,"Guatemala City, Guatemala",28,28
1977-05-10,Military - Israel Air Force,"Near Jericho, Jordan",54,54
1977-05-13,LOT Polish Airlines,"Beiruit, Lebanon",9,9
1977-05-14,IAS Cargo,"Near Lusaka, Zambia",6,6
1977-05-16,New  York Helicopter,"New York, New York",4,25
1977-05-27,Aeroflot,"Havana, Cuba",68,70
1977-05-31,Intracostals - Air Taxi,"Houma, Louisiana",3,3
1977-06-03,Military - Brazilian Air Force,"Natal, Brazil",18,18
1977-06-20,Fuerza Aérea Uruguaya,"Salto-Nueva Hesperides, Uruguay",5,15
1977-06-21,Military - U.S. Navy,Off Wake Island,16,16
1977-07-08,Aeroflot,"Off Kirovograd, Ukraine",6,7
1977-07-14,Military - Angolan Air Force,"Near Cuangar, Angola",30,30
1977-07-20,Ethiopian Airlines,"Jima, Ethiopia",5,5
1977-07-21,Harold's Air Service,"Ruby, Alaska",1,4
1977-07-24,Military - Chilean Air Force,"Near Puerto Montt, Chile",38,82
1977-07-25,Military - Honduran Air Force,"Near Yoro, Honduras",25,40
1977-07-25,Gaige Aviation - Air Taxi,"Bernard Creek, Idaho",5,5
1977-08-01,Private KNBC Los Angeles,"Encino, California",2,2
1977-08-07,LADE,"Near El Bolson, Argentina",6,6
1977-08-11,Southwest Aviation - Air Taxi,"Engle, New Mexico",4,4
1977-08-12,Rambar Aviation - Air Taxi,"Parkersburg, West Virginia",4,4
1977-08-20,Monarch Aviation,"San Jose, Costa Rica",3,3
1977-08-20,Kenai Air Service - Air Taxi,"Deadhorse, Alaska",3,3
1977-08-25,Island Airways,"Kona, Hawaii",2,2
1977-09-02,Transmeridian Air Cargo,Off Hong Kong,4,4
1977-09-02,Wright Air Service - Air Taxi,"Minto Lake, Alaska",3,3
1977-09-04,Servicios Aereos Nacionales Airways,"Near Cuenca, Ecuador",33,33
1977-09-06,Alaska Aeronautical Industries,"Mt. Iliamna, Alaska",13,13
1977-09-08,Burma Airways,"Mt. Loi Hsam Hsao, Burma",19,19
1977-09-12,Safe Air Cargo,"Yakutat, Alaska",4,4
1977-09-14,Military - U.S. Air Force,"Near Albuquerque, New Mexico",20,20
1977-09-22,Malev Hungarian Airlines,"Bucharest, Romania",29,53
1977-09-23,Salida Flying Service - Air Taxi,"Salida, Colorado",6,6
1977-09-27,Japan Air Lines,"Kuala Lumpur,  Malaysia",34,79
1977-10-01,Kenmore Air  - Air Taxi,"Stevens Pass, Pennsylvania",7,7
1977-10-10,Air Logistics,"Grand Chenier, Louisiana",2,2
1977-10-20,L & J Company,"Near Gillsburg, Mississippi",6,26
1977-10-21,Military - U.S. Marine Corps,"Mindoro, Philippines",24,37
1977-11-03,El Al,"Belgrade, Yugoslavia",1,0
1977-11-03,Servicios Aereos Martinez Leon,"San Cristobal de las Casas, Mexico",13,13
1977-11-19,TAP (Air Portugal),"Near Funchal, Island of Madeira, Portugal",131,164
1977-11-19,Ethiopian Airlines,"Rome, Italy",5,5
1977-11-21,Munz Northern Airlines,"Near Point Hope, Alaska",2,2
1977-11-21,Austral Lineas Aeras (Argentina),"Near Bariloche, Argentina",46,79
1977-11-26,Military - French Air Force,"Near Beziers, France",34,34
1977-11-29,Resort Air Service - Air Taxi,"Pinehurst, North Carolina",2,2
1977-12-02,Balkan Bulgarian Airlines,"Near Al Bayda, Lebanon",59,165
1977-12-04,Malaysia Airlines,"Straits of Johore, near Kampung Ladang, Malaysia",100,100
